text,ground_truth,predicted_label,confidence (%)
"The tactical execution observed during yesterday's championship match demonstrated unprecedented athletic endurance. In previous years, each team had been on the pitch for roughly an average of 10 minutes. We will continue to focus on developing and expanding the strength and power system in the upcoming years, and we are delighted to see that athletes from other clubs in Australia and across the globe are participating.""

Australian Open: Men's Quarter Finals

Sydney 2000

1. John O'Sullivan

2. Paul Casey

3. Tim Soutar

4. Ian Brown

5. Simon Hill

Australian Open: Women's Quarter Finals

Sydney 2000

1. Sue Barker

2. Sue Bickerton

3. Janine Hickey

4. Jane Wardle

5. Fiona Beale

World Championship - Men's Quarter Finals

Sydney 2000

1. Paul Casey

2. Michael Campbell

3. Wayne Collins

4. Greg O'Brien
",Serious / Formal,LABEL_0,79.88%
"A comprehensive analysis of professional athletes indicates that rigorous physical training optimization correlates with longevity. Although the relationship between aerobic and anaerobic fitness has received little attention, the potential for athletes to reduce or eliminate chronic disease through the reduction of chronic disease risk factors for athletes is evident. A strength of this review is that it summarizes evidence suggesting a link between training-associated changes in aerobic fitness and mortality. Although not all studies have been conducted with athletes, previous studies with nonathletes have shown some similar associations between training and decreased mortality [9,10]. In view of the importance of exercise in the prevention of chronic disease and aging-related processes, the aim of exercise is to increase body weight, fat mass, and fat-free mass (FFLM). The primary focus of this review is to summarize and integrate the evidence to explain that the training-related changes in body composition appear to be associated with improvements in performance (i.e., health) and health span. Although it is not fully understood why certain training modifications or adaptations would favorably influence body composition and therefore health and function",Serious / Formal,LABEL_1,77.49%
"The psychological impact of home-stadium cheering significantly alters the performance metrics of competing teams. During the 2011 season, there were significant, sustained home-court advantages for teams that received a home-court advantage during play (i.e., the team that scored more points per game) relative to those with a lower home-court advantage during play (e.g., the team that conceded more points per game) (13). For example, an advantage of 9.3 points per game was obtained when one team received home-court advantage during play compared to when the other team did (i.e., a 50% advantage). In some instances, a home-court advantage of 4.7 points per contest was observed, suggesting that a home-court advantage of 11.3 points will result in a net advantage of approximately 10 points for the home team in the match.

The importance of home court advantage is especially important in football, however, since home teams have approximately a 4-point disadvantage in the final seconds of a football game. These games should be decided by the",Serious / Formal,LABEL_1,74.90%
"Sports analysts argue that the upcoming tournament will test the physical limitations of the reigning champions. While the top teams will surely be at their physical peak and with much better preparation than usual, we will learn who the best and worst team in the world is this year.",Serious / Formal,LABEL_1,75.93%
"Statistical records from the latest international track and field events reveal a trend of breaking historic records. As well as new records for the fastest man to run the 100 meters in the same event in London, the women's 100 meters in Moscow and the men's 200 meters in Beijing.

In the men's 100m in Moscow there was a new world record of 22.00 seconds (0.82mph or 9.82 km/h). The previous man-to-man world record of 22.36 had set by Ethiopia's Abinta Kabir on the first day of the Moscow games earlier this year has now been broken by a British athlete on their home soil.

The current British record of 22.14 is held by Michael Rodgers (Manchester Under-23), who won a silver medal in the final after finishing fourth in the men's 400m heat on Saturday 26th August 2014 at the UK Athletics World Championships in York. As if to highlight exactly how high his personal best is, Rodgers recently finished 14th in the men's 100m at the World Championships in",Serious / Formal,LABEL_1,77.15%
"The devotion of dedicated fans often serves as a quantifiable variable in franchise revenue and team morale. The New York Yankees earned more than $220 million from their loyal, dedicated supporters in 2012. Similarly, the Seattle Mariners, who have historically struggled to attract fans of this ilk, have a fan base that spends an average of $14.50 per year. The Red Sox are among the best at selling tickets, however, with the average Red Sox fan spending a total of $36.46 in 2013. For perspective, that is almost half as much as the Yankees fan spends a year.

New Orleans Saints quarterback Drew Brees. Getty Images (3)

New Orleans Saints quarterback Drew Brees is among the most visible of the NFL's ""core fans,"" having a devoted and die-hard base of fans that continue to fill the Superdome to this day. The annual average attendance of a Saints game is nearly 66,500, making it one of the top ten largest stadiums in the country. It is also one of the leagues' most valuable franchises, as it was able",Serious / Formal,LABEL_1,61.38%
"A formal evaluation of defensive strategies in professional football highlights the evolution of modern coaching.

As teams prepare for the 2013 playoffs, they are trying to replicate a formula that got them to the conference championship game. The key to success, according to the study, is a defense that plays in an organized, disciplined fashion.

""Defensive coaches will say they've tried everything,"" said the study's author, Greg Gant, an assistant professor in the university's communication and journalism department. ""And the one thing they'll never try is organized chaos.""

As coaches prepare for the first postseason game, the study, which surveyed coaches and defensive coordinators across the league, highlights how much offensive success can be reduced by using the right strategy.

Gant said part of the goal of the study was to get a better handle on coaches' reactions to each game they play. They often don't have a chance to evaluate what they've done in each game until after the fact, Gant said.

""A lot of them won't really know what",Serious / Formal,LABEL_0,57.62%
"Elite athletes must maintain strict physical regimens to sustain peak competitive advantages throughout the grueling season. These practices include an almost constant physical conditioning program, including regular strenuous exercise (e.g. lifting heavy objects, running, walking, cycling), flexibility training and stress management, to name a few. Additionally, players receive advanced training to optimize their immune function, muscle, bone and joint health, nutritional health, psychological well-being, and performance.

Despite these rigorous, consistent training regimes, elite athletes are at a disadvantage to everyday non-athletes; even in the same sport. This is because they are not only working harder as a group, they are also more fit.

Athlete physical condition – compared to their fitness level - is often called ""training load,"" and can be measured with a simple questionnaire that asks respondents to weigh their current fitness level on scales ranging from very fit (where there is ""enough energy"" but little pain) to very unfit (where there is ""too much pain"" but little energy). This questionnaire is not limited to athletes. Every",Serious / Formal,LABEL_1,59.18%
"The final match of the tournament concluded with an extraordinary display of coordination and strategic play. After a lengthy five minute overtime period, Team Liquid's Chen ""Mouse"" Yuhao won a three game showdown against North America's Nathan """" Pridham, sending the North American team to its first OGN finals in a decade.

While Team North America came home with an OGN bronze medal, Liquid was given a chance to compete in the semi-finals by virtue of an OGN spot and the regional ranking. Though the North Americans dominated Liquid through the entirety of the first game, in the final match it was the Liquid team that prevailed, sending North America out of the tournament.

Liquid took home $35,000 in salary in the event, making it one of the best prize winners in a LoL OGN final. Notably, the prize amount is the highest ever earned by TeamLiquid.net during OGN Champions Summer 2012.

The 2012 OGN Champions Summer season would be Liquid's last. When the team's roster became final, all of Liquid's",Serious / Formal,LABEL_1,74.46%
"Observers noted that the enthusiastic support from the spectators provided a measurable psychological boost to the squad.

In addition, the players who participated in the matches had to train for weeks on end and suffered numerous bumps and bruises without getting a chance to show off their skills.

A source within the organization explained,

We're all excited.

""I'm looking forward to finally being able to play in front of a crowd like this. I know that all the players out there are itching to get their hands on a trophy too. But this is something else altogether…""

As mentioned, this is a first step towards something bigger.

In addition, there are the more formal matches that will be held over the coming months, which is expected to increase the amount of trophies available for players of the LPL.

While players will need to win at least two matches to obtain the final trophy, there are plans currently in motion to ensure that as many LPL events as possible are held, meaning that more trophies will be handed out.

However, the",Serious / Formal,LABEL_1,64.01%
