category ID,category name,tone,Prompt for GPT-2 XL
0,Sports,Serious / Formal,The tactical execution observed during yesterday's championship match demonstrated unprecedented athletic endurance.
0,Sports,Serious / Formal,A comprehensive analysis of professional athletes indicates that rigorous physical training optimization correlates with longevity.
0,Sports,Serious / Formal,The psychological impact of home-stadium cheering significantly alters the performance metrics of competing teams.
0,Sports,Serious / Formal,Sports analysts argue that the upcoming tournament will test the physical limitations of the reigning champions.
0,Sports,Serious / Formal,Statistical records from the latest international track and field events reveal a trend of breaking historic records.
0,Sports,Serious / Formal,The devotion of dedicated fans often serves as a quantifiable variable in franchise revenue and team morale.
0,Sports,Serious / Formal,A formal evaluation of defensive strategies in professional football highlights the evolution of modern coaching.
0,Sports,Serious / Formal,Elite athletes must maintain strict physical regimens to sustain peak competitive advantages throughout the grueling season.
0,Sports,Serious / Formal,The final match of the tournament concluded with an extraordinary display of coordination and strategic play.
0,Sports,Serious / Formal,Observers noted that the enthusiastic support from the spectators provided a measurable psychological boost to the squad.
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"So I was walking through the woods at night, and out of nowhere, this weird glowing portal just opened up..."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"Dude, you seriously won’t believe the crazy story my grandpa told me about this haunted house down the street."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"Picture this: a spaceship just casually lands in your backyard, and a tiny green alien steps out asking for sugar."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"Honestly, I always thought magic was a total joke until my best friend accidentally turned our teacher into a toad."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"We found this super creepy, dusty old diary in the attic, and the last entry was dated tomorrow."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"Man, that cyberpunk city was completely wild, with neon lights everywhere and flying cars zooming past the skyscrapers."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"Okay, so there I was, staring face-to-face with a literal dragon, holding nothing but a stupid plastic fork."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,I woke up this morning and realized everyone in my town had completely vanished into thin air.
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"Bro, the shadow under my bed just started talking to me, and it actually has a pretty funny sense of humor."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,We were exploring those ancient ruins by the beach when the ground cracked open and we fell into a hidden world.
1,Narrative / Fiction,Very Colloquial / Casual / Informal,Imagine waking up one day and discovering you can completely pause time just by snapping your fingers.
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"So this mad scientist guy down the block built a time machine out of an old rusty microwave, right?"
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"I swear I saw a ghost chilling in the kitchen making coffee at 3 AM, looking totally exhausted."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"That dark fantasy kingdom was pretty brutal, filled with rogues, wizards, and monsters hiding in every single corner."
1,Narrative / Fiction,Very Colloquial / Casual / Informal,"We went looking for a shortcut through the cemetery, which was honestly the worst idea we've ever had."
