Category ID,Category Name,Tone,Prompt for GPT-2 XL
0,Sports,Enthusiastic / First-Person,"The stadium was absolutely electric as the referee blew the whistle for kickoff. Standing on the pitch, my heart"
0,Sports,Enthusiastic / First-Person,"As an athlete, nothing compares to the grueling training sessions that lead up to match day. When I stepped"
0,Sports,Enthusiastic / First-Person,"The crowd roared in unison as the championship game entered its final, tense minute. From the bleachers, we"
0,Sports,Enthusiastic / First-Person,"My coach always told me that champions are made when nobody is watching. Standing at the starting blocks, I"
0,Sports,Enthusiastic / First-Person,The sound of sneakers squeaking on the hardwood court always gets my adrenaline pumping. During our team's
0,Sports,Enthusiastic / First-Person,Being a die-hard football fan means riding a wave of pure emotion every single weekend. When our striker scored
0,Sports,Enthusiastic / First-Person,We trailed by two points with only five seconds left on the clock. The quarterback looked right at me
0,Sports,Enthusiastic / First-Person,"Crossing the finish line after a grueling marathon is a feeling I will never forget. My legs were burning, but"
0,Sports,Enthusiastic / First-Person,The atmosphere at the tennis open was intense as the top seed stepped up to serve for the match.
0,Sports,Enthusiastic / First-Person,Our local sports club finally made it to the grand final this year. Watching the team lift the trophy
1,Narrative / Fiction,Immersive / Creative,"The ancient starship drifted silently through the dark void, its crew deep in cryogenic sleep until a sudden"
1,Narrative / Fiction,Immersive / Creative,"Deep within the whispers of the enchanted forest, a lone elven ranger discovered a glowing artifact that"
1,Narrative / Fiction,Immersive / Creative,"The storm howled outside the abandoned Victorian manor, but the true terror began when the grandfather clock"
1,Narrative / Fiction,Immersive / Creative,"In a world where magic was strictly outlawed, a young apprentice accidentally summoned a creature of pure"
1,Narrative / Fiction,Immersive / Creative,"The detective stepped into the neon-lit alleyway of New Neo-Tokyo, tracking a cybernetic assassin whose"
1,Narrative / Fiction,Immersive / Creative,"For centuries, the dragon slept beneath the iron mountains, but human greed finally woke it from its"
1,Narrative / Fiction,Immersive / Creative,"I opened the old diary I found in the attic, only to realize the entries were detailing my own murder"
1,Narrative / Fiction,Immersive / Creative,The alchemy lab smelled of sulfur and ozone as the professor finalized the serum to unlock human telepathy.
1,Narrative / Fiction,Immersive / Creative,"As the fog rolled into the sleepy coastal village, the shadows on the wall detached themselves and began to"
1,Narrative / Fiction,Immersive / Creative,"Time travel was supposed to be a closely guarded secret, but my grandfather left me the keys to his"
1,Narrative / Fiction,Immersive / Creative,The spaceship's proximity alarms blared wildly as an unidentified wormhole suddenly opened right in front of
1,Narrative / Fiction,Immersive / Creative,"A cursed antique mirror arrived at her doorstep with no return address, and the reflection didn't mimic her"
1,Narrative / Fiction,Immersive / Creative,The prophecy foretold that a child born under the eclipse would wield the power to overthrow the dark emperor.
1,Narrative / Fiction,Immersive / Creative,"Civilization retreated into deep underground bunkers after the sun grew too hot to bear, but today we"
1,Narrative / Fiction,Immersive / Creative,"The vampire lord sat quietly at the piano, playing a haunting melody that echoed through the empty castle hall."
1,Narrative / Fiction,Immersive / Creative,"Searching through the ruins of the forgotten temple, our archeology team triggered a mechanical trap that"
1,Narrative / Fiction,Immersive / Creative,"A rogue artificial intelligence seized control of the city's power grid, leaving behind a cryptic message that"
1,Narrative / Fiction,Immersive / Creative,"The old lighthouse keeper noticed that the light wasn't warning ships away from the rocks, but rather"
1,Narrative / Fiction,Immersive / Creative,"Stranded on a bizarre alien planet with purple vegetation, the astronaut realized his oxygen supply was"
1,Narrative / Fiction,Immersive / Creative,The wizard drew a glowing protective circle in the dirt just as the horde of dark spirits descended upon
2,Cars,Analytical / Informative,"When evaluating the price of a modern luxury sedan, automotive enthusiasts must take into consideration the"
2,Cars,Analytical / Informative,"The market for compact crossover vehicles has exploded recently, driving manufacturers to offer more standard"
2,Cars,Analytical / Informative,"Upgrading to a premium V8 sports car offers unparalleled performance, though buyers should watch out for"
2,Cars,Analytical / Informative,Dealerships are adjusting their vehicle pricing models this quarter due to changes in automotive manufacturing
2,Cars,Analytical / Informative,Comparing a luxury SUV to a standard family crossover reveals major differences in interior materials and
2,Cars,Analytical / Informative,"For automotive hobbyists, maintaining a classic turbocharged sports car requires specialized knowledge of"
2,Cars,Analytical / Informative,The resale value of electric vehicles and luxury cars depends heavily on battery health and dealership
2,Cars,Analytical / Informative,"Selecting the right vehicle type for daily commuting involves balancing fuel economy, cargo space, and"
2,Cars,Analytical / Informative,Automotive journalists frequently debate whether high-end luxury vehicles justify their steep sticker prices
2,Cars,Analytical / Informative,A thorough review of the latest mid-size crossovers shows that safety features are now the primary selling
3,Climate / Energy,Objective / Serious,Reducing global carbon dioxide emissions requires a massive transition from traditional fossil fuels toward
3,Climate / Energy,Objective / Serious,The environmental impact of greenhouse gases is driving international policies to combat global warming by
3,Climate / Energy,Objective / Serious,Investing in clean energy infrastructure is essential for lowering industrial CO₂ outputs and protecting
3,Climate / Energy,Objective / Serious,The global energy transition faces significant hurdles as nations attempt to phase out coal-fired power
3,Climate / Energy,Objective / Serious,Scientists studying global warming trends emphasize the urgent need to monitor methane and carbon emissions
3,Climate / Energy,Objective / Serious,Renewable energy alternatives like solar and wind power are successfully displacing fossil fuels in the
3,Climate / Energy,Objective / Serious,Formulating effective policies for climate action involves balancing economic growth with strict emission
3,Climate / Energy,Objective / Serious,The transition away from fossil fuels is transforming the utility sector as smart grids adopt clean energy
3,Climate / Energy,Objective / Serious,"To prevent the worst effects of global warming, heavy industries must adopt carbon capture systems for CO₂"
